0	[0, 0]	3.59	3.73	3.95	3.32	4.13	4.02	3.70	3.53	3.57	3.39	3.45	3.76	
1	[1, 0]	3.80	3.92	4.09	4.06	4.02	3.90	3.83	3.86	4.10	4.23	4.51	4.26	
2	[2, 0]	4.02	3.37	3.10	3.56	3.91	3.57	3.28	3.44	3.74	3.51	3.44	3.65	
3	[3, 0]	2.93	2.89	3.08	2.99	2.61	2.98	3.29	3.18	2.72	2.83	3.01	2.08	
4	[4, 0]	2.45	3.14	3.07	2.45	2.13	2.02	3.28	3.45	3.12	2.54	2.67	2.54	
5	[5, 0]	2.37	1.40	1.82	2.03	1.49	0.97	1.16	1.88	1.69	1.97	2.64	1.46	
6	[6, 0]	0.85	1.49	1.07	0.77	0.48	0.45	1.13	1.12	1.27	1.13	0.48	0.47	
7	[7, 0]	0.74	0.44	0.46	0.41	0.48	0.73	0.94	0.55	0.42	0.32	0.62	0.84	
8	[8, 0]	0.20	0.22	0.14	0.28	0.38	0.14	0.25	0.30	0.25	0.36	0.26	0.15	
9	[9, 0]	0.18	0.30	0.19	0.18	0.17	0.14	0.11	0.19	0.16	0.18	0.12	0.31	
10	[10, 0]	0.19	0.23	0.24	0.27	0.20	0.17	0.15	0.14	0.17	0.25	0.24	0.20	
11	[11, 0]	0.14	0.22	0.37	0.45	0.15	0.13	0.30	0.38	0.26	0.21	0.21	0.20	
12	[12, 0]	0.82	0.67	0.71	0.73	0.67	0.49	0.38	0.31	0.31	0.60	0.54	0.39	
13	[13, 0]	0.82	0.98	0.78	1.46	1.33	0.61	0.70	0.46	0.62	1.42	1.00	0.78	
14	[14, 0]	1.03	1.02	0.74	1.81	1.60	0.81	1.03	1.12	0.56	2.16	1.27	0.93	
15	[15, 0]	1.39	1.39	1.53	1.81	1.63	1.30	1.53	2.59	2.14	1.46	1.27	1.88	
16	[16, 0]	1.74	2.38	2.17	2.64	1.58	2.10	1.37	1.41	1.91	2.39	2.95	2.63	
17	[17, 0]	2.79	2.55	2.36	2.52	2.84	2.44	2.89	2.66	2.57	2.83	2.06	2.53	
18	[18, 0]	3.62	3.27	3.18	2.87	2.80	3.02	3.24	3.08	3.22	3.40	3.14	3.39	
19	[19, 0]	4.12	4.14	4.01	3.74	3.50	3.66	3.84	3.65	4.23	3.86	3.69	3.81	
20	[20, 0]	4.18	4.09	3.32	3.18	3.19	3.78	3.91	4.21	3.88	3.35	4.05	4.11	
21	[20, 1]	2.80	3.30	3.08	3.16	3.18	3.15	3.58	3.40	3.49	3.37	3.40	3.37	
22	[19, 1]	3.25	3.49	3.42	3.06	3.00	2.79	2.91	3.24	3.48	3.64	3.41	3.41	
23	[18, 1]	2.34	1.99	2.06	1.74	3.23	3.58	2.92	1.83	1.79	2.65	2.66	2.93	
24	[17, 1]	2.32	2.08	1.91	2.18	1.15	1.85	2.58	2.92	2.46	2.38	2.34	1.61	
25	[16, 1]	1.28	1.50	1.65	1.61	1.90	1.57	1.77	1.43	0.85	1.83	1.13	1.49	
26	[15, 1]	1.09	0.74	1.02	1.52	1.51	0.91	1.41	1.53	1.95	2.19	1.35	0.94	
27	[14, 1]	2.33	1.29	1.31	1.42	1.06	0.78	0.88	0.81	1.66	1.08	0.59	1.06	
28	[13, 1]	0.61	1.18	1.09	1.78	1.21	0.57	0.52	1.56	1.50	1.13	0.79	0.95	
29	[12, 1]	1.54	1.02	0.59	1.06	0.70	0.72	0.88	0.98	0.52	0.33	0.80	0.61	
30	[11, 1]	1.25	1.77	1.15	0.46	0.59	0.28	0.39	0.40	0.78	0.68	0.97	1.20	
31	[10, 1]	0.63	0.74	0.54	2.00	1.08	0.72	0.78	0.60	0.40	0.42	0.50	0.70	
32	[9, 1]	0.94	0.91	0.95	0.77	0.70	0.63	0.95	1.58	1.03	1.22	1.43	1.20	
33	[8, 1]	1.10	0.56	0.42	0.72	1.28	0.80	0.88	0.69	0.81	1.33	1.21	0.26	
34	[7, 1]	1.21	0.76	1.10	1.60	1.96	1.13	0.51	0.77	1.01	1.06	0.71	0.85	
35	[6, 1]	1.33	1.36	1.77	2.01	1.33	1.04	0.76	0.53	1.47	0.63	0.61	0.59	
36	[5, 1]	1.28	2.38	3.04	3.18	2.31	2.64	2.97	2.94	2.29	2.53	2.09	2.88	
37	[4, 1]	2.28	2.01	2.00	2.09	2.26	3.02	3.29	2.63	2.12	2.88	3.39	2.90	
38	[3, 1]	3.23	3.04	3.42	3.36	2.47	2.19	3.14	2.02	3.23	3.86	3.18	2.99	
39	[2, 1]	3.48	3.00	2.71	3.29	3.03	2.60	2.46	3.20	3.88	3.74	3.00	2.97	
40	[1, 1]	3.60	3.40	3.78	3.46	3.84	3.89	3.37	3.35	2.89	2.74	3.50	3.53	
41	[0, 1]	3.13	3.34	2.42	2.67	3.33	3.37	3.32	3.10	2.90	3.26	3.45	3.40	
42	[0, 2]	0.41	0.41	0.36	0.71	0.69	0.41	0.37	0.35	0.33	0.79	0.84	0.74	
43	[1, 2]	0.54	0.59	0.86	0.34	0.60	0.79	0.55	0.35	0.93	0.80	0.51	0.60	
44	[2, 2]	0.43	0.48	0.91	1.03	0.44	0.74	0.94	1.05	1.43	1.72	1.16	1.07	
45	[3, 2]	1.19	1.98	0.89	1.13	1.01	1.08	0.94	1.02	1.65	1.60	1.30	1.18	
46	[4, 2]	2.34	2.22	1.68	2.68	3.71	2.50	1.44	1.88	1.88	2.40	1.63	1.30	
47	[5, 2]	1.94	1.74	2.45	2.86	2.84	2.79	2.16	2.00	2.00	2.31	2.22	1.97	
48	[6, 2]	2.70	2.13	2.09	2.22	1.83	1.13	1.39	3.49	2.76	2.46	2.98	1.92	
49	[7, 2]	1.26	1.66	2.08	2.33	2.66	2.59	2.13	2.11	2.22	1.37	1.80	2.84	
50	[8, 2]	1.63	2.34	2.03	1.68	2.08	2.35	1.76	2.21	2.50	2.69	2.78	1.93	
51	[9, 2]	1.90	4.09	3.88	3.53	3.44	2.99	2.35	2.55	2.19	2.31	4.05	2.68	
52	[10, 2]	3.46	3.08	2.95	3.23	3.22	2.96	2.77	1.73	2.04	2.30	2.72	3.06	
53	[11, 2]	2.71	1.50	1.52	2.43	1.85	1.63	1.75	1.40	2.09	1.42	1.67	1.44	
54	[12, 2]	1.86	2.10	2.29	1.84	2.01	0.91	1.35	1.75	1.60	1.40	2.03	1.33	
55	[13, 2]	1.50	0.86	0.57	0.47	1.30	1.27	1.64	1.58	2.15	1.87	1.72	0.50	
56	[14, 2]	1.12	0.98	1.06	1.67	2.15	2.61	1.42	1.26	1.46	2.36	2.18	1.97	
57	[15, 2]	2.20	0.99	1.36	1.36	1.99	1.74	1.23	1.24	1.54	1.72	1.02	1.62	
58	[16, 2]	0.69	0.60	1.36	1.35	1.49	1.05	1.00	2.01	1.16	1.13	1.54	1.27	
59	[17, 2]	0.40	0.81	1.21	0.32	0.27	0.33	0.42	0.35	0.56	0.63	0.99	0.69	
60	[18, 2]	0.55	0.45	0.34	0.46	0.30	0.37	0.40	0.34	0.43	0.39	0.34	0.43	
61	[19, 2]	0.59	0.74	0.62	0.90	1.10	0.70	0.39	0.35	0.87	1.10	0.36	0.61	
62	[20, 2]	0.35	0.41	0.39	0.32	0.34	0.41	0.39	0.42	0.27	0.24	0.25	0.22	
63	[20, 3]	0.12	0.16	0.15	0.12	0.15	0.16	0.21	0.15	0.11	0.11	0.21	0.26	
64	[19, 3]	0.22	0.22	0.34	0.30	0.19	0.19	0.28	0.17	0.18	0.27	0.22	0.19	
65	[18, 3]	0.26	0.26	0.17	0.24	0.23	0.26	0.16	0.11	0.27	0.28	0.25	0.27	
66	[17, 3]	0.44	0.44	0.52	0.28	0.23	0.22	0.25	0.29	0.43	0.26	0.20	0.27	
67	[16, 3]	0.46	0.63	0.56	0.39	0.44	0.52	0.41	0.58	0.61	0.32	0.39	0.42	
68	[15, 3]	1.36	1.18	0.79	1.21	1.04	0.91	0.49	0.73	0.70	0.45	0.77	1.03	
69	[14, 3]	1.69	1.13	0.94	1.10	1.09	2.06	1.66	1.76	1.58	1.44	1.52	2.62	
70	[13, 3]	1.67	1.12	1.76	1.13	1.42	2.57	1.61	1.75	1.75	2.28	2.18	1.84	
71	[12, 3]	2.93	2.16	1.63	2.34	2.50	2.52	1.90	1.83	2.46	2.76	3.09	1.89	
72	[11, 3]	4.06	3.00	2.91	3.41	3.42	2.94	3.46	2.93	2.51	3.11	3.28	2.91	
73	[10, 3]	2.82	2.54	3.17	3.76	3.06	3.32	3.82	2.91	3.75	3.66	3.61	3.90	
74	[9, 3]	3.21	3.41	4.09	3.99	3.80	3.72	3.29	3.12	3.44	3.53	3.94	3.79	
75	[8, 3]	2.90	3.04	3.64	2.69	3.07	3.47	3.18	3.31	2.17	2.62	2.27	2.45	
76	[7, 3]	3.32	3.38	2.95	3.34	2.63	2.69	2.99	3.10	2.94	2.56	3.22	2.60	
77	[6, 3]	2.14	2.28	1.92	1.80	1.96	2.35	2.48	2.57	1.98	2.13	2.63	2.38	
78	[5, 3]	1.58	2.21	1.86	1.28	1.52	1.46	1.43	1.24	1.36	1.96	1.46	0.77	
79	[4, 3]	0.89	0.60	0.70	1.59	1.56	1.56	1.07	1.18	0.78	0.77	0.67	0.72	
80	[3, 3]	0.56	0.38	0.60	0.52	0.40	0.49	0.37	0.34	0.31	0.49	0.88	0.82	
81	[2, 3]	0.38	0.22	0.22	0.26	0.34	0.38	0.23	0.26	0.27	0.27	0.24	0.23	
82	[1, 3]	0.22	0.27	0.28	0.23	0.25	0.22	0.25	0.16	0.20	0.26	0.21	0.20	
83	[0, 3]	0.22	0.17	0.18	0.23	0.15	0.18	0.18	0.16	0.19	0.24	0.17	0.15	
84	[0, 4]	0.07	0.08	0.09	0.14	0.14	0.18	0.18	0.13	0.12	0.19	0.18	0.14	
85	[1, 4]	0.23	0.18	0.18	0.18	0.19	0.18	0.14	0.13	0.14	0.15	0.20	0.27	
86	[2, 4]	0.27	0.18	0.20	0.25	0.33	0.34	0.28	0.22	0.16	0.16	0.22	0.19	
87	[3, 4]	0.27	0.29	0.36	0.27	0.25	0.25	0.31	0.35	0.30	0.40	0.35	0.23	
88	[4, 4]	0.36	0.25	0.26	0.32	0.51	0.71	0.53	0.33	0.30	0.37	0.34	0.30	
89	[5, 4]	0.55	0.60	0.89	0.98	0.98	0.78	0.76	0.81	1.15	0.79	0.91	1.01	
90	[6, 4]	1.30	1.21	1.26	1.19	1.07	1.22	1.54	1.27	1.30	1.34	1.10	1.08	
91	[7, 4]	1.56	1.51	1.49	1.42	1.48	1.59	1.30	1.23	1.54	1.62	1.34	1.33	
92	[8, 4]	1.51	1.45	1.69	1.77	1.98	1.81	1.55	1.39	1.15	1.44	1.97	1.33	
93	[9, 4]	1.65	1.47	1.29	1.53	1.81	1.41	1.41	1.61	1.50	1.47	1.55	1.48	
94	[10, 4]	1.23	1.49	1.56	1.21	1.54	1.42	1.40	1.46	1.43	1.46	1.32	1.63	
95	[11, 4]	1.83	1.43	1.46	1.80	1.57	1.49	1.44	1.20	1.33	1.39	1.54	1.26	
96	[12, 4]	1.05	1.09	1.36	1.28	0.85	0.95	0.91	1.06	1.45	1.69	1.00	0.90	
97	[13, 4]	1.30	1.24	1.04	1.01	1.27	1.34	0.93	0.97	1.13	1.15	1.03	1.02	
98	[14, 4]	0.44	0.52	0.37	0.52	0.79	0.48	0.68	0.41	0.62	0.64	0.38	0.27	
99	[15, 4]	0.43	0.37	0.33	0.26	0.28	0.41	0.39	0.24	0.43	0.29	0.24	0.26	
100	[16, 4]	0.26	0.27	0.25	0.21	0.22	0.32	0.23	0.23	0.33	0.28	0.19	0.15	
101	[17, 4]	0.22	0.27	0.28	0.23	0.18	0.12	0.19	0.20	0.21	0.26	0.21	0.26	
102	[18, 4]	0.18	0.20	0.22	0.12	0.17	0.19	0.21	0.20	0.11	0.11	0.19	0.27	
103	[19, 4]	0.14	0.11	0.06	0.11	0.07	0.09	0.15	0.14	0.14	0.12	0.13	0.16	
104	[20, 4]	0.12	0.10	0.09	0.14	0.17	0.08	0.19	0.18	0.13	0.09	0.09	0.08	
