0	[0, 0]	0.49	0.56	0.56	0.51	0.53	0.65	0.95	0.65	0.65	0.66	0.66	0.74	
1	[1, 0]	1.73	1.72	2.08	2.00	2.16	2.16	1.81	1.82	1.61	1.47	1.46	2.09	
2	[2, 0]	1.58	1.74	1.54	1.51	1.86	1.20	1.35	1.47	1.73	1.63	1.49	1.37	
3	[3, 0]	1.29	1.62	1.28	1.30	1.58	0.74	1.13	1.69	1.60	1.53	0.86	0.83	
4	[4, 0]	0.91	1.01	1.22	1.29	1.16	1.15	1.07	0.84	0.73	1.03	1.39	1.02	
5	[5, 0]	0.40	1.08	0.69	0.71 	0.59	0.67	1.13	1.27	0.97	0.40	0.29	0.55	
6	[6, 0]	0.17	0.13	0.28	0.28	0.55	0.29	0.25	0.27	0.23	0.34	0.43	0.47	
7	[7, 0]	0.17	0.15	0.13	0.14	0.13	0.21	0.22	0.34	0.29	0.18	0.21	0.24	
8	[8, 0]	0.10	0.15	0.15	0.13	0.14	0.13	0.11	0.14	0.18	0.19	0.14	0.15	
9	[9, 0]	0.12	0.14	0.12	0.22	0.20	0.17	0.17	0.16	0.14	0.19	0.19	0.16	
10	[10, 0]	0.19	0.12	0.15	0.18	0.17	0.16	0.15	0.18	0.15	0.15	0.14	0.12	
11	[11, 0]	0.15	0.19	0.13	0.19	0.16	0.13	0.16	0.11	0.15	0.26	0.22	0.14	
12	[12, 0]	0.16	0.14	0.15	0.19	0.14	0.22	0.28	0.15	0.15	0.16	0.21	0.24	
13	[13, 0]	0.61	0.35	0.16	0.23	0.27	0.45	0.35	0.53	0.61	0.34	0.38	0.36	
14	[14, 0]	0.40	0.35	0.29	0.48	0.38	0.44	0.35	0.27	0.33	0.31	0.37	0.30	
15	[15, 0]	0.77	0.97	0.72	0.59	0.71 	0.68	0.87	0.80	0.80	0.65	0.54	0.49	
16	[16, 0]	1.24	0.72	0.75	0.93	0.75	0.71 	0.67	0.59	0.75	0.81	0.95	1.15	
