0	[0, 0]	2.08	2.40	2.58	1.43	1.44	2.21	2.92	2.80	1.96	2.29	2.40	2.20	
1	[1, 0]	2.45	2.53	2.67	1.97	2.94	2.01 	2.23	2.17	1.84	2.33	2.68	2.45	
2	[2, 0]	1.78	1.58	2.36	1.89	1.80	2.16	2.10	2.77	2.62	2.15	2.16	1.87	
3	[3, 0]	2.07	2.13	2.01	2.39	2.74	2.50	2.68	2.46	1.98	2.32	2.52	2.14	
4	[4, 0]	2.09	2.57	2.61	1.79	1.47	2.43	2.28	2.33	2.59	2.28	2.45	2.17	
5	[5, 0]	1.39	1.62	1.29	1.66	1.75	1.56	1.69	2.27	1.18	0.81	1.48	2.01	
6	[6, 0]	1.45	1.16	1.89	0.27	0.42	0.68	1.81	1.73	1.53	1.19	1.16	1.56	
7	[7, 0]	0.96	0.55	0.48	0.81	0.51	0.25	0.37	0.60	0.38	0.64	0.52	0.44	
8	[8, 0]	0.92	0.50	0.58	0.48	0.24	0.20	0.40	0.25	0.23	0.32	0.57	0.27	
9	[9, 0]	0.25	0.64	0.40	0.24	0.28	0.20	0.18	0.74	0.62	0.84	0.51	0.55	
10	[10, 0]	0.60	0.21	0.28	0.41	0.53	0.66	0.12	0.20	0.32	0.47	0.41	0.51	
11	[11, 0]	0.67	0.83	0.89	0.66	0.64	0.70	0.70	0.45	0.58	0.44	0.76	1.08	
12	[12, 0]	0.95	1.26	1.52	0.51	0.36	0.52	0.83	1.13	0.60	0.82	1.30	1.14	
13	[13, 0]	1.02	0.88	1.27	0.78	1.08	1.27	0.70	0.63	0.84	0.91	0.85	1.42	
14	[14, 0]	1.25	1.16	1.09	1.04	1.52	0.67	1.18	1.05	1.62	1.42	1.18	0.94	
15	[15, 0]	1.06	1.39	1.65	0.88	0.71	0.65	0.78	0.81	1.42	1.26	0.78	1.38	
16	[16, 0]	1.49	1.29	1.13	0.83	1.32	1.16	0.47	0.48	0.99	1.42	1.50	1.51	
17	[17, 0]	0.68	1.26	1.60	1.30	1.25	1.31	1.14	2.00	1.86	1.19	2.35	2.17	
18	[18, 0]	2.37	1.83	1.66	1.87	2.07	1.60	1.54	1.93	1.49	0.97	1.54	1.67	
19	[19, 0]	1.36	1.80	0.99	1.34	1.23	1.83	2.10	2.01	1.15	0.70	1.25	2.08	
20	[20, 0]	1.34	0.98	1.87	1.88	1.47	0.91	1.15	2.05	1.37	1.28	1.50	1.09	
21	[20, 1]	0.48	1.26	0.98	1.55	1.31	0.62	0.53	0.82	0.32	0.50	0.69	0.52	
22	[19, 1]	0.65	0.61	0.57	1.35	0.51	0.51	0.33	0.58	0.93	0.60	0.34	0.31	
23	[18, 1]	0.96	0.34	1.05	1.13	0.66	0.63	0.35	0.58	0.82	1.18	1.29	1.12	
24	[17, 1]	0.61	0.38	0.29	0.38	0.41	0.49	0.23	0.54	0.71	1.23	0.74	0.32	
25	[16, 1]	0.31	0.50	0.52	0.47	0.72	0.78	1.02	1.12	1.74	0.29	0.47	1.24	
26	[15, 1]	0.32	1.05	0.97	1.24	0.93	1.23	1.28	0.63	0.29	0.67	0.49	0.66	
27	[14, 1]	1.12	0.92	0.69	0.44	0.70	0.69	1.44	1.26	0.82	1.16	1.52	0.55	
28	[13, 1]	0.93	0.88	0.65	0.36	0.48	0.39	0.40	0.48	0.58	0.78	0.57	0.76	
29	[12, 1]	1.05	0.50	1.03	0.91	0.80	0.69	1.30	0.53	0.84	1.00	1.08	0.61	
30	[11, 1]	0.61	1.67	1.25	0.61	1.20	0.94	1.00	1.47	1.53	1.19	1.25	0.67	
31	[10, 1]	0.64	0.62	1.19	1.04	0.62	1.06	0.69	0.54	0.31	0.37	0.63	0.50	
32	[9, 1]	0.39	0.29	0.61	0.56	0.85	0.47	0.25	0.20	0.34	0.27	0.22	0.48	
33	[8, 1]	0.31	0.60	0.68	0.52	0.55	0.46	0.43	0.33	0.51	0.57	0.44	0.44	
34	[7, 1]	0.34	0.47	0.64	0.51	0.48	1.02	1.14	0.90	0.45	0.63	0.85	0.64	
35	[6, 1]	0.47	0.57	1.84	1.38	1.06	1.45	1.58	1.49	1.12	0.97	0.76	0.57	
36	[5, 1]	1.96	1.98	1.06	1.53	1.43	1.68	1.75	1.61	2.14	1.80	2.09	2.16	
37	[4, 1]	1.99	2.16	1.93	2.22	2.33	1.94	1.63	1.62	2.38	1.74	2.50	2.47	
38	[3, 1]	1.86	1.30	1.62	1.97	2.38	2.62	2.48	1.75	2.05	2.18	2.39	2.33	
39	[2, 1]	1.94	1.39	1.73	0.95	1.72	1.68	2.04	1.67	1.75	1.66	1.39	1.26	
40	[1, 1]	0.53	0.54	1.20	1.41	1.31	1.04	0.67	1.39	0.85	1.31	1.98	0.99	
41	[0, 1]	0.68	1.46	1.04	1.28	0.66	0.66	0.77	0.76	1.88	1.14	1.43	1.18	
42	[0, 2]	0.25	0.21	0.16	0.29	0.55	0.38	0.32	0.29	0.37	0.34	1.19	0.94	
43	[1, 2]	0.46	1.04	0.76	0.60	0.71	0.65	1.41	0.78	1.12	0.70	0.56	0.66	
44	[2, 2]	1.34	1.33	1.12	0.62	1.23	1.27	1.04	1.21	1.81	1.40	1.38	1.13	
45	[3, 2]	0.93	1.97	1.48	1.25	1.65	2.01	2.01	1.52	1.36	1.34	0.87	1.15	
46	[4, 2]	1.16	1.87	2.12	1.80	1.53	0.71	2.32	2.09	1.69	2.02	2.37	2.47	
47	[5, 2]	1.73	0.76	1.13	1.85	1.92	1.83	1.96	1.48	0.97	1.32	1.80	1.99	
48	[6, 2]	1.09	0.30	1.50	1.21	1.20	2.04	1.28	0.57	0.83	1.82	2.00	1.53	
49	[7, 2]	0.54	0.41	0.60	0.62	0.49	1.21	1.22	0.54	0.22	0.76	1.14	0.80	
50	[8, 2]	0.29	0.32	0.60	0.50	0.41	0.31	0.29	0.25	0.32	0.46	0.97	0.67	
51	[9, 2]	0.80	0.62	0.68	0.49	0.58	0.68	0.47	0.48	0.56	1.19	0.66	0.87	
52	[10, 2]	0.60	1.06	0.60	0.69	0.36	0.57	0.38	0.86	0.85	0.61	0.53	1.04	
53	[11, 2]	0.50	0.88	0.90	0.56	0.93	0.90	0.98	1.33	0.57	0.78	1.26	1.20	
54	[12, 2]	1.14	0.93	1.51	0.45	0.47	1.17	0.91	1.54	0.81	1.14	1.29	1.51	
55	[13, 2]	0.42	0.45	1.41	1.42	0.51	0.82	0.80	1.24	0.55	0.42	0.58	0.62	
56	[14, 2]	0.59	0.67	0.54	0.25	0.53	0.56	0.42	0.36	0.37	0.26	0.24	0.46	
57	[15, 2]	0.47	1.14	0.26	0.50	0.67	0.49	0.76	0.40	0.20	0.52	0.26	0.32	
58	[16, 2]	0.19	0.29	0.39	0.55	0.45	0.25	0.32	0.21	0.18	0.37	0.54	0.42	
59	[17, 2]	0.21	0.36	0.51	0.23	0.21	0.16	0.21	0.23	0.26	0.26	0.20	0.52	
60	[18, 2]	0.29	0.26	0.20	0.20	0.33	0.27	0.34	0.29	0.30	0.31	0.21	0.18	
61	[19, 2]	0.28	0.29	0.24	0.22	0.32	0.29	0.27	0.22	0.25	0.30	0.27	0.20	
62	[20, 2]	0.20	0.24	0.29	0.16	0.13	0.37	0.13	0.28	0.22	0.12	0.26	0.23	
63	[20, 3]	0.20	0.30	0.34	0.33	0.14	0.18	0.19	0.26	0.24	0.21	0.14	0.15	
64	[19, 3]	0.18	0.22	0.29	0.21	0.24	0.15	0.16	0.20	0.21	0.23	0.19	0.12	
65	[18, 3]	0.15	0.21	0.23	0.22	0.26	0.41	0.24	0.20	0.26	0.24	0.22	0.20	
66	[17, 3]	0.13	0.19	0.14	0.14	0.16	0.19	0.23	0.15	0.24	0.22	0.22	0.24	
67	[16, 3]	0.35	0.36	0.23	0.24	0.12	0.19	0.20	0.36	0.28	0.15	0.20	0.24	
68	[15, 3]	0.46	0.61	0.27	0.32	0.33	0.28	0.73	0.19	0.28	0.63	0.26	0.20	
69	[14, 3]	0.35	1.04	0.86	0.69	0.96	0.54	0.23	0.43	0.69	0.42	1.08	0.29	
70	[13, 3]	1.16	0.81	0.80	0.52	1.13	1.16	1.05	1.01	1.38	0.68	0.63	0.61	
71	[12, 3]	1.63	1.24	0.90	0.75	1.12	0.53	0.35	0.80	0.76	1.20	1.88	1.14	
72	[11, 3]	0.64	0.55	0.50	0.53	0.56	0.95	1.86	1.03	1.24	1.44	1.51	1.47	
73	[10, 3]	0.92	1.49	1.39	0.66	0.62	0.67	1.05	0.38	0.47	0.94	0.47	0.58	
74	[9, 3]	1.55	0.96	0.99	1.02	0.72	0.49	0.65	0.85	1.39	0.75	0.65	1.29	
75	[8, 3]	0.52	1.14	1.94	1.51	1.14	0.50	0.66	0.86	1.12	0.94	0.93	1.94	
76	[7, 3]	0.74	1.00	1.30	1.19	1.34	0.60	0.47	0.88	0.87	0.59	0.52	1.34	
77	[6, 3]	0.99	1.04	1.38	0.58	1.15	0.91	1.06	0.83	1.60	1.43	2.47	2.40	
78	[5, 3]	1.60	1.74	2.16	2.16	1.87	1.84	1.35	1.78	1.25	2.09	2.40	1.35	
79	[4, 3]	2.37	1.83	1.06	0.90	2.15	1.92	1.43	1.44	2.01	1.85	1.78	2.40	
80	[3, 3]	2.23	1.84	1.26	1.26	1.48	1.67	1.22	1.55	1.32	1.39	1.73	1.96	
