0	[0, 0]	2.68	2.14	2.41	2.37	2.63	2.45	2.25	2.44	2.44	2.35	2.83	2.92	
1	[1, 0]	2.89	2.90	2.67	2.71	2.74	2.93	2.93	2.94	2.89	2.61	2.91	3.09	
2	[2, 0]	2.38	2.47	2.73	2.66	2.44	2.12	2.03	2.62	2.57	2.48	2.34	2.68	
3	[3, 0]	2.29	2.25	2.16	2.20	2.17	2.03	2.63	2.45	1.53	2.16	2.51	1.64	
4	[4, 0]	1.48	1.79	1.31	1.56	1.65	1.62	1.97	1.55	1.55	1.19	1.76	0.94	
5	[5, 0]	0.46	0.48	0.74	0.70	1.03	1.06	1.38	1.21	0.79	0.73	0.48	0.86	
6	[6, 0]	0.91	0.66	0.62	1.03	1.04	1.65	0.81	0.74	0.66	1.28	1.04	0.76	
7	[7, 0]	0.97	0.54	1.04	1.09	1.46	1.26	1.69	1.04	0.90	0.92	0.63	1.34	
8	[8, 0]	1.39	1.53	1.79	1.54	1.39	1.38	1.34	1.20	1.18	1.36	1.89	1.95	
9	[9, 0]	0.75	0.95	1.36	1.28	1.68	1.52	1.43	1.54	1.83	1.29	0.60	0.91	
10	[10, 0]	1.08	1.30	1.20	0.74	0.73	0.29	0.39	0.52	1.78	1.03	0.80	0.68	
11	[11, 0]	1.24	0.47	0.52	0.58	1.57	1.09	0.31	0.48	0.68	0.44	0.50	0.94	
12	[12, 0]	0.76	0.65	0.87	0.69	0.78	0.79	0.78	0.57	0.93	0.66	0.53	0.67	
13	[13, 0]	0.63	0.93	0.94	0.64	0.35	0.36	0.60	0.16	0.21	0.39	0.25	0.64	
14	[14, 0]	0.27	0.35	0.30	0.24	0.38	0.44	0.21	0.40	0.45	0.42	0.73	0.55	
15	[15, 0]	0.28	0.23	0.16	0.63	0.65	0.74	0.61	0.43	0.48	0.57	0.30	0.27	
16	[16, 0]	0.65	0.36	0.32	0.52	0.89	0.99	1.09	0.86	0.54	0.57	0.87	1.04	
17	[17, 0]	0.79	0.72	1.14	1.34	1.22	0.95	0.68	0.60	0.75	1.04	1.38	1.52	
