0	[0, 0]	3.01	2.69	2.32	2.28	2.17	2.39	2.40	2.93	2.91	2.58	2.12	1.87	
1	[1, 0]	2.76	2.81	2.39	2.28	2.58	2.52	2.74	2.73	2.75	3.21	3.24	3.04	
2	[2, 0]	2.59	2.57	2.56	2.18	2.60	2.53	2.25	2.47	2.64	2.91	2.60	2.70	
3	[3, 0]	1.90	1.99	1.46	1.56	2.16	2.28	2.19	2.12	2.05	1.97	1.80	1.88	
4	[4, 0]	0.84	0.62	1.03	0.93	1.23	1.26	1.15	0.72	1.05	1.42	0.87	1.05	
5	[5, 0]	0.25	0.17	0.21	0.30	0.53	0.33	0.53	0.74	0.35	0.18	0.27	0.29	
6	[6, 0]	0.38	0.36	0.56	0.47	0.37	0.40	0.40	0.25	0.37	0.32	0.26	0.18	
7	[7, 0]	0.50	0.34	0.37	0.44	0.87	1.13	0.87	0.72	0.87	0.65	0.52	0.46	
8	[8, 0]	1.46	1.31	1.27	0.70	0.54	0.55	0.52	0.48	0.72	1.56	2.11	2.24	
9	[9, 0]	1.44	0.94	1.54	1.32	1.61	1.12	0.78	0.77	0.59	1.33	0.81	1.02	
10	[10, 0]	0.57	0.40	1.06	0.75	0.77	0.46	0.65	0.87	0.43	0.63	1.05	1.54	
11	[11, 0]	0.56	0.40	1.68	1.02	0.51	0.31	0.59	0.33	0.59	1.03	1.35	0.42	
12	[12, 0]	0.48	0.24	0.42	0.63	1.09	0.94	0.44	0.76	1.28	0.53	0.47	0.47	
13	[13, 0]	0.46	0.46	0.27	0.21	0.19	0.16	0.17	0.29	0.34	0.20	0.25	0.22	
14	[14, 0]	0.21	0.17	0.32	0.24	0.12	0.33	0.44	0.22	0.33	0.36	0.45	0.20	
15	[15, 0]	0.10	0.18	0.24	0.22	0.33	0.94	0.31	0.24	0.27	0.23	0.12	0.21	
16	[16, 0]	0.64	0.50	0.32	0.48	0.45	0.44	0.49	0.50	0.41	0.37	0.31	0.43	
17	[17, 0]	1.40	1.61	1.44	1.18	0.81	0.51	0.41	0.71	1.19	1.29	1.24	1.34	
18	[18, 0]	1.39	1.58	1.64	1.50	1.41	1.19	1.76	1.82	1.73	2.06	1.93	1.76	
19	[19, 0]	1.52	1.98	2.22	1.42	1.87	2.56	1.81	1.99	2.23	2.38	1.93	2.16	
20	[20, 0]	2.15	2.11	2.15	1.48	2.42	2.14	2.06	2.36	2.27	2.63	2.47	2.21	
