0	[0, 0]	1.53	1.28	1.68	1.39	1.06	1.43	1.50	1.75	1.57	2.05	2.05	2.07	
1	[1, 0]	2.41	2.47	2.62	1.83	2.43	2.66	2.53	2.67	2.63	2.76	2.64	2.57	
2	[2, 0]	2.02	2.03	2.40	2.08	2.34	2.49	2.18	1.97	2.20	2.45	2.49	2.34	
3	[3, 0]	1.47	1.33	1.51	1.84	1.50	0.91	0.68	1.86	1.72	1.18	1.49	1.63	
4	[4, 0]	0.55	0.45	0.84	0.86	0.55	0.43	0.65	0.93	0.88	0.52	0.38	0.25	
5	[5, 0]	0.20	0.31	0.23	0.16	0.20	0.23	0.23	0.37	0.36	0.45	0.47	0.25	
6	[6, 0]	0.58	0.47	0.63	0.39	0.23	0.22	0.18	0.27	0.27	0.23	0.41	0.30	
7	[7, 0]	0.51	0.87	0.68	0.75	0.42	0.41	0.35	0.52	0.34	0.24	0.42	0.63	
8	[8, 0]	0.50	1.18	1.87	1.29	1.48	1.23	1.24	0.72	1.38	1.40	1.06	0.72	
9	[9, 0]	0.65	0.76	0.65	1.60	1.93	1.61	1.61	2.26	1.58	0.95	1.23	1.18	
10	[10, 0]	0.53	0.64	0.98	0.44	0.45	0.30	0.64	0.45	1.33	1.05	0.54	0.67	
11	[11, 0]	0.33	0.57	0.85	0.64	0.78	0.31	0.30	0.36	0.56	0.32	0.44	0.63	
12	[12, 0]	0.45	0.35	0.88	0.94	0.35	0.29	0.38	0.60	1.22	0.62	0.31	0.18	
13	[13, 0]	0.28	0.24	0.23	0.23	0.22	0.45	0.30	0.22	0.43	0.23	0.26	0.35	
14	[14, 0]	0.43	0.33	0.57	0.43	0.28	0.43	0.47	0.45	0.24	0.26	0.32	0.34	
15	[15, 0]	0.20	0.26	0.18	0.20	0.24	0.32	0.24	0.32	0.32	0.16	0.37	0.49	
16	[16, 0]	0.54	0.81	0.92	0.37	0.28	0.38	0.53	0.94	0.94	1.09	0.82	0.53	
17	[17, 0]	1.21	0.76	0.92	0.96	1.51	1.15	1.23	1.19	0.90	1.24	0.92	1.00	
18	[18, 0]	1.90	1.85	2.19	1.62	2.12	2.38	2.22	1.82	1.88	1.88	1.85	1.60	
19	[19, 0]	2.42	1.97	2.51	2.83	2.65	2.63	2.14	2.11	2.51	2.95	2.52	2.59	
20	[20, 0]	2.44	3.10	2.65	2.70	2.55	2.04	2.26	2.81	2.63	2.98	2.95	2.88	
21	[20, 1]	4.94	4.55	4.07	4.07	4.29	4.57	4.17	4.37	4.61	4.42	4.19	3.91	
22	[19, 1]	3.40	3.16	3.19	3.64	3.34	3.39	3.41	3.50	3.59	3.04	2.97	3.34	
23	[18, 1]	2.36	1.90	2.24	2.19	1.98	2.06	2.09	1.92	1.82	2.92	2.36	2.40	
24	[17, 1]	1.09	1.61	1.46	1.75	1.82	1.82	2.08	1.16	1.33	1.39	1.46	1.56	
25	[16, 1]	1.21	1.35	1.86	1.41	1.12	1.67	1.59	1.39	1.54	1.12	0.85	0.91	
26	[15, 1]	0.92	0.85	1.39	0.65	1.23	1.77	0.73	1.55	0.72	0.76	0.90	0.52	
27	[14, 1]	1.52	0.80	0.72	0.39	0.72	0.95	1.02	1.32	0.63	0.55	1.38	0.92	
28	[13, 1]	1.65	1.51	1.48	2.26	2.18	2.61	1.82	0.83	1.40	2.28	1.57	1.76	
29	[12, 1]	1.12	1.16	1.80	1.41	1.53	0.82	1.31	1.49	1.93	1.59	1.72	1.41	
30	[11, 1]	1.54	1.47	2.01	1.96	1.93	2.06	2.04	1.58	1.91	2.04	1.67	1.29	
31	[10, 1]	2.15	2.17	1.94	2.24	1.50	1.53	1.31	1.92	2.36	2.40	2.23	2.64	
32	[9, 1]	2.21	1.94	2.22	2.66	2.81	2.68	2.35	2.71	2.81	3.05	3.12	3.47	
33	[8, 1]	2.20	2.47	2.19	2.30	2.34	2.41	2.08	3.24	2.58	2.15	2.36	2.59	
34	[7, 1]	2.21	1.90	2.23	2.51	1.82	1.90	2.02	2.03	1.49	2.00	2.47	1.36	
35	[6, 1]	0.67	1.11	1.36	0.95	0.95	1.86	1.29	0.85	0.85	1.61	1.31	0.97	
36	[5, 1]	0.61	0.69	0.90	0.47	0.42	0.59	1.66	1.55	1.02	1.21	0.51	0.40	
37	[4, 1]	1.07	1.56	2.11	2.07	2.12	1.90	0.92	1.32	2.18	1.50	1.54	1.63	
38	[3, 1]	2.98	2.64	2.74	2.29	2.18	2.53	2.60	2.44	2.37	2.35	2.58	2.75	
39	[2, 1]	3.50	3.58	3.58	3.35	3.03	3.10	3.48	3.66	3.60	3.43	3.43	3.19	
40	[1, 1]	4.18	4.12	4.27	3.68	4.05	4.07	4.13	4.00	4.01 	4.06	4.07	4.14	
41	[0, 1]	3.54	3.98	4.20	3.93	3.70	3.55	4.05	4.49	3.69	3.86	3.78	4.06	
42	[0, 2]	3.92	4.26	3.68	4.45	4.38	3.69	3.96	4.32	4.48	4.39	4.52	4.51	
43	[1, 2]	3.22	3.50	3.64	3.65	3.99	3.11	3.14	2.89	3.03	2.88	3.75	3.77	
44	[2, 2]	2.34	2.78	2.86	2.75	3.19	3.22	3.09	2.80	2.98	2.72	2.80	2.65	
