0	[0, 0]	0.31	0.28	0.34	0.32	0.33	0.37	0.39	0.33	0.25	0.27	0.33	0.33	
1	[1, 0]	0.42	0.42	0.50	0.50	0.47	0.43	0.48	0.49	0.48	0.46	0.44	0.55	
2	[2, 0]	0.35	0.42	0.45	0.49	0.37	0.37	0.40	0.31	0.30	0.39	0.36	0.30	
3	[3, 0]	0.30	0.30	0.27 	0.31	0.35	0.37	0.29	0.25	0.22	0.25	0.33	0.53	
4	[4, 0]	0.26	0.21	0.31	0.25	0.24	0.19	0.15	0.15	0.23	0.23	0.20	0.21	
5	[5, 0]	0.15	0.16	0.15	0.12	0.16	0.16	0.23	0.21	0.19	0.19	0.14	0.16	
6	[6, 0]	0.21	0.15	0.17	0.22	0.20	0.18	1.71	1.71	0.19	0.16	0.14	0.16	
7	[7, 0]	0.22	0.28	0.24	0.37	0.25	0.32	0.17	0.18	0.17	0.16	0.27	0.31	
8	[8, 0]	0.13	0.21	0.27	0.24	0.19	0.21	0.21	0.26	0.25	0.18	0.21	0.26	
9	[9, 0]	0.30	0.42	0.53	0.38	0.37	0.19	0.24	0.21	0.29	0.41	0.57	0.38	
10	[10, 0]	0.29	0.26	0.29	0.33	0.31	0.31	0.25	0.29	0.60	0.37	0.23	0.33	
11	[11, 0]	0.36	0.45	0.39	0.34	0.27	0.39	0.47	0.21	0.24	0.32	0.27	0.28	
12	[12, 0]	0.31	0.27	0.27	0.24	0.22	0.16	0.21	0.23	0.16	0.14	0.23	0.29	
13	[13, 0]	0.25	0.22	0.14	0.23	0.31	0.23	0.25	0.22	0.21	0.25	0.20	0.22	
14	[14, 0]	0.14	0.19	0.21	0.19	0.19	0.30	0.28	0.19	0.13	0.18	0.26	0.16	
15	[15, 0]	0.19	0.14	0.17	0.22	0.21	0.17	0.13	0.25	0.27 	0.17	0.18	0.13	
16	[16, 0]	0.13	0.13	0.15	0.16	0.19	0.18	0.13	0.19	0.18	0.20	0.19	0.19	
17	[17, 0]	0.18	0.21	0.21	0.26	0.25	0.17	0.16	0.21	0.20	0.23	0.21	0.21	
18	[18, 0]	0.20	0.28	0.38	0.25	0.19	0.24	0.24	0.31	0.34	0.24	0.26	0.22	
19	[19, 0]	0.41	0.37	0.30	0.29	0.28	0.33	0.32	0.34	0.39	0.30	0.25	0.35	
20	[20, 0]	0.58	0.47	0.52	0.59	0.52	0.57	0.49	0.42	0.47	0.49	0.49	0.47	
21	[20, 1]	5.75	5.75	5.69	5.59	5.81	5.88	5.68	5.65	5.78	5.67	5.76	5.70	
22	[19, 1]	3.85	4.16	4.12	4.43	4.37	4.32	4.25	4.59	4.44	4.50	4.02	4.08	
23	[18, 1]	2.88	3.11	3.43	3.34	3.42	3.16	3.43	2.08	1.96	2.39	2.42	2.56	
24	[17, 1]	1.69	2.09	1.13	1.14	1.57	1.34	1.38	1.12	0.86	1.17	1.26	1.34	
25	[16, 1]	0.63	0.58	0.51	0.65	0.53	0.43	0.40	0.54	0.69	0.43	0.66	1.09	
26	[15, 1]	1.60	1.11	1.47	1.20	1.54	1.41	1.28	1.58	1.08	0.71	0.82	0.72	
27	[14, 1]	1.76	1.76	1.46	1.16	1.34	1.79	1.48	1.60	1.32	1.54	1.74	1.38	
28	[13, 1]	1.28	1.24	1.14	1.06	1.43	1.55	1.52	1.68	1.49	1.14	1.30	1.61	
29	[12, 1]	1.76	1.68	1.52	1.78	1.23	1.74	2.10	1.68	1.35	1.67 	1.59	1.50	
30	[11, 1]	2.11	2.23	2.46	2.22	2.31	2.74	3.03	3.01	2.79	2.33	2.67	2.21	
31	[10, 1]	2.04	2.29	2.85	2.54	2.28	1.94	2.57	3.46	3.29	3.13	2.59	2.05	
32	[9, 1]	1.83	1.99	1.82	1.76	1.51	1.96	2.12	2.45	2.39	2.15	1.88	2.08	
33	[8, 1]	1.58	2.17	2.29	2.38	2.54	2.17	2.86	2.70	1.90	2.02	2.17	2.46	
34	[7, 1]	2.73	2.18	1.98	2.80	2.62	3.20	3.03	2.77	2.90	3.15	2.46	2.40	
35	[6, 1]	2.61	1.47	1.35	1.19	1.34	1.89	1.52	0.84	1.29	2.18	2.16	1.67	
36	[5, 1]	1.06	1.24	1.41	1.42	1.07	0.96	0.76	0.68	1.16	1.37	0.92	1.14	
37	[4, 1]	1.92	2.29	1.71	1.52	3.09	1.26	1.94	2.04	1.82	1.92	2.41	2.38	
38	[3, 1]	4.22	3.85	3.98	4.27	4.11	4.25	3.93	4.00	4.59	3.98	4.00	3.54	
39	[2, 1]	4.78	4.85	4.60	4.87	4.39	4.53	4.53	4.68	4.48	4.61	4.98	4.56	
40	[1, 1]	5.12	5.15	5.22	5.27	5.31	5.29	4.99	5.29	5.25	5.17	5.04	5.06	
41	[0, 1]	2.99	2.87	3.17	3.04	3.14	3.35	3.29	3.30	3.39	3.29	3.00	3.32	
42	[0, 2]	2.03	2.19	2.04	1.86	1.83	1.91	1.92	1.81	2.07	2.03	1.93	1.93	
43	[1, 2]	4.99	4.91	4.81	4.64	5.37	5.15	4.75	5.03	4.81	4.77	5.46	5.19	
44	[2, 2]	3.46	3.90	4.09	3.90	3.46	3.60	3.74	3.61	3.88	3.83	3.63	3.53	
45	[3, 2]	2.06	2.34	2.74	2.46	3.34	2.64	2.64	2.67	2.49	2.55	3.32	3.54	
46	[4, 2]	1.93	2.17	2.14	1.62	1.75	1.81	3.23	2.34	3.67	2.33	3.25	3.55	
47	[5, 2]	2.68	3.67	3.04	3.67	3.27	4.00	3.84	3.81	3.29	3.17	4.43	4.41	
48	[6, 2]	4.44	5.08	5.18	5.50	5.44	4.36	4.56	4.86	4.53	4.80	4.99	4.77	
49	[7, 2]	5.11	5.43	5.36	5.66	5.12	5.15	5.42	5.11	5.46	5.00	4.84	5.03	
50	[8, 2]	4.86	4.81	4.78	4.47	5.18	4.99	4.93	5.15	4.97	5.00	4.99	4.81	
51	[9, 2]	4.37	4.20	4.32	3.58	3.82	4.59	4.84	4.76	4.58	4.75	4.38	3.87	
