0	[0, 0]	1.66	1.65	1.91	1.18	1.12	1.79	1.93	1.91	1.66	0.45	0.61	1.52	
1	[1, 0]	2.11	1.19	0.78	0.87	0.98	1.74	1.29	1.55	1.53	1.95	2.56	1.56	
2	[2, 0]	1.83	2.13	2.05	2.23	2.29	2.06	1.65	1.36	1.86	2.21	2.52	1.76	
3	[3, 0]	1.94	1.50	1.54	1.40	1.53	2.30	1.72	1.05	1.72	1.24	1.05	1.64	
4	[4, 0]	1.55	1.75	1.56	1.54	2.08	1.96	1.43	1.09	2.17	1.74	1.61	1.16	
5	[5, 0]	1.83	2.11	2.04	1.69	1.53	1.82	1.53	2.10	1.43	1.64	2.44	1.86	
6	[6, 0]	1.56	1.64	0.89	0.85	1.22	1.06	0.82	1.13	1.26	0.64	1.51	0.87	
7	[7, 0]	0.38	1.26	1.12	0.85	0.44	0.57	0.52	0.86	1.50	0.94	0.66	0.30	
8	[8, 0]	0.72	1.03	0.47	0.31	0.41	0.73	0.81	0.58	0.31	0.46	0.52	0.35	
9	[9, 0]	0.70	0.47	0.22	0.59	0.48	0.65	0.64	0.60	1.00	0.61	0.30	0.66	
10	[10, 0]	0.68	0.61	0.72	0.38	0.63	0.96	0.73	0.74	0.61	0.53	1.12	0.68	
11	[11, 0]	0.46	0.64	1.19	1.10	1.43	1.28	1.49	1.31	1.22	0.60	0.80	1.10	
12	[12, 0]	1.05	1.16	1.31	1.03	1.16	1.09	1.30	1.18	0.96	0.64	0.88	1.30	
13	[13, 0]	0.74	0.59	0.96	0.82	0.89	0.82	0.42	0.77	1.28	0.51	0.62	0.93	
14	[14, 0]	0.70	0.50	0.88	0.75	0.72	1.36	0.52	0.51	0.34	0.18	0.36	0.36	
15	[15, 0]	0.61	0.63	0.63	0.47	0.41	1.16	0.83	0.98	0.58	0.79	1.15	0.49	
16	[16, 0]	1.54	1.16	0.41	0.43	0.81	0.48	0.34	0.71	0.67	0.27	0.38	0.52	
17	[17, 0]	0.50	0.40	0.81	0.38	0.24	0.33	0.80	0.27	0.21	0.58	1.12	0.92	
18	[18, 0]	0.49	1.31	0.53	0.65	0.54	0.39	0.61	0.51	1.54	0.69	0.43	0.51	
19	[19, 0]	0.28	0.63	0.86	0.81	0.77	0.29	0.42	0.54	0.28	0.32	0.31	0.63	
