0	[0, 0]	1.86	1.73	1.63	2.15	2.08	1.91	2.56	2.23	2.17	1.96	2.48	2.37	
1	[1, 0]	2.95	3.16	3.24	3.42	3.63	3.30	3.77	3.62	3.07	3.17	3.86	2.30	
2	[2, 0]	2.61	2.68	2.76	3.10	2.96	2.39	2.58	3.04	2.85	2.61	2.17	2.86	
3	[3, 0]	1.61	2.20	1.46	1.60	2.09	2.07	1.81	1.48	1.97	2.35	2.52	1.96	
4	[4, 0]	1.77	1.86	1.51	1.88	2.35	2.25	1.31	1.47	1.53	2.10	1.38	2.21	
5	[5, 0]	1.64	1.16	1.39	1.45	0.95	0.61	1.20	1.23	1.30	1.27	1.26	0.71	
6	[6, 0]	0.40	0.56	0.36	0.58	0.75	0.37	0.61	1.00	0.61	0.53	0.29	0.31	
7	[7, 0]	0.10	0.19	0.11	0.13	0.21	0.27	0.15	0.19	0.25	0.20	0.18	0.30	
8	[8, 0]	0.12	0.14	0.17	0.22	0.30	0.22	0.16	0.12	0.12	0.11	0.21	0.22	
9	[9, 0]	0.14	0.17	0.20	0.15	0.12	0.12	0.16	0.19	0.12	0.15	0.09	0.08	
10	[10, 0]	0.17	0.09	0.18	0.17	0.29	0.11	0.13	0.15	0.15	0.15	0.13	0.11	
11	[11, 0]	0.16	0.16	0.16	0.10	0.14	0.19	0.13	0.21	0.36	0.27	0.20	0.15	
12	[12, 0]	0.24	0.27	0.26	0.34	0.16	0.23	0.18	0.24	0.15	0.23	0.19	0.12	
13	[13, 0]	0.31	0.23	0.29	0.15	0.32	0.39	0.54	0.67	0.44	0.73	0.79	0.82	
14	[14, 0]	0.52	0.79	1.14	0.63	1.12	1.29	0.79	0.48	0.96	1.06	1.22	1.14	
15	[15, 0]	0.94	1.26	1.64	0.99	0.65	0.63	1.09	0.55	0.61	0.65	0.77	0.85	
16	[16, 0]	0.91	1.14	0.84	0.81	1.12	0.93	0.97	1.35	1.04	1.05	1.08	1.70	
17	[17, 0]	1.24	1.10	1.33	1.19	1.83	1.75	1.34	1.39	1.55	1.37	1.49	1.37	
18	[18, 0]	1.87	1.80	1.62	1.26	1.17	1.63	1.71	1.61	1.88	1.26	1.58	1.89	
19	[19, 0]	2.33	2.52	2.52	2.26	2.26	2.75	2.45	2.61	2.06	1.83	2.17	2.26	
20	[20, 0]	1.70	1.79	1.38	1.47	1.56	1.75	1.23	0.98	0.77	1.17	1.09	1.26	
21	[20, 1]	3.88	4.24	3.80	3.77	4.09	3.76	4.01	4.07	4.04	3.47	3.71	3.44	
22	[19, 1]	4.06	4.04	3.97	3.57	3.54	4.02	3.72	3.62	4.20	4.34	3.93	3.74	
23	[18, 1]	3.35	3.07	3.24	3.14	3.28	2.90	3.19	3.41	3.01	3.53	3.27	3.09	
24	[17, 1]	2.63	2.67	2.55	2.09	2.03	2.63	2.79	2.98	2.88	3.28	2.85	2.33	
25	[16, 1]	1.84	1.82	2.20	2.57	2.90	2.62	1.84	1.64	1.61	1.80	2.14	2.53	
26	[15, 1]	1.40	1.67	2.06	1.43	1.36	1.33	1.61	1.42	1.50	2.17	2.80	1.67	
27	[14, 1]	1.38	1.09	1.81	1.71	1.34	0.99	0.98	2.12	1.67	0.78	0.69	1.41	
28	[13, 1]	1.02	1.21	1.00	0.28	0.91	0.59	0.35	0.57	0.94	0.58	0.38	0.27	
29	[12, 1]	0.27	0.45	0.83	1.20	0.65	0.29	0.46	0.45	0.46	0.68	0.83	0.60	
30	[11, 1]	0.22	0.17	0.38	0.41	0.34	0.62	0.57	0.42	0.55	0.33	0.66	0.88	
31	[10, 1]	0.37	0.53	0.40	0.25	0.23	0.26	0.25	0.22	0.26	0.24	0.26	0.22	
32	[9, 1]	0.29	0.25	0.21	0.17	0.21	0.19	0.16	0.50	0.37	0.18	0.23	0.20	
33	[8, 1]	0.20	0.25	0.40	0.35	0.26	0.13	0.23	0.28	0.20	0.22	0.20	0.22	
34	[7, 1]	0.31	0.40	0.57	0.48	0.55	0.37	0.33	0.58	0.71	0.54	1.02	1.14	
35	[6, 1]	1.07	0.80	1.50	1.32	1.18	1.12	0.92	0.93	1.46	1.74	0.99	1.00	
36	[5, 1]	2.41	2.26	2.78	2.77	2.92	2.14	1.57	1.47	1.83	2.31	2.03	2.12	
37	[4, 1]	2.97	3.04	3.20	2.95	3.18	2.80	2.20	2.29	3.09	2.66	1.83	1.72	
38	[3, 1]	3.32	2.92	2.83	2.80	3.70	3.56	2.26	2.83	3.63	3.15	3.05	3.09	
39	[2, 1]	3.69	3.55	3.86	3.10	3.59	3.76	4.03	3.90	3.75	3.91	3.94	3.98	
40	[1, 1]	4.34	3.90	4.16	3.92	4.21	4.38	4.31	4.36	4.28	4.46	4.44	4.19	
41	[0, 1]	3.68	3.43	4.10	4.21	4.24	3.69	3.83	3.84	3.67	3.96	4.18	3.26	
42	[0, 2]	3.29	2.54	2.56	2.74	3.09	3.05	3.33	3.33	3.50	3.56	2.81	3.05	
43	[1, 2]	3.08	2.94	2.97	4.19	3.79	3.41	3.34	3.51	3.24	3.74	2.18	2.88	
44	[2, 2]	3.42	3.25	2.45	2.27	3.51	3.13	2.78	3.13	3.42	3.46	2.24	2.40	
45	[3, 2]	2.30	2.81	3.43	3.46	3.06	3.60	3.72	3.03	3.63	3.54	3.44	3.18	
46	[4, 2]	3.15	2.50	3.12	2.45	3.06	2.62	3.03	3.28	2.91	2.67	2.21	2.13	
47	[5, 2]	1.44	2.67	1.98	1.83	1.62	1.81	1.76	0.83	1.40	0.62	0.74	1.16	
48	[6, 2]	1.53	1.70	1.64	0.84	1.01	1.54	1.83	1.45	1.62	2.11	1.03	1.01	
49	[7, 2]	1.76	1.73	1.61	0.45	0.33	0.43	0.63	1.59	1.86	1.09	1.30	1.04	
50	[8, 2]	1.10	0.80	0.51	0.75	0.77	0.99	0.74	0.56	1.57	1.50	1.24	1.18	
51	[9, 2]	1.06	0.94	1.29	1.46	1.18	1.23	1.58	0.99	1.50	1.89	1.41	2.17	
52	[10, 2]	1.27	0.99	1.06	0.70	1.35	0.56	0.83	1.30	1.16	0.65	0.53	0.77	
53	[11, 2]	1.02	1.59	0.58	0.86	0.52	1.27	0.57	0.36	0.57	0.60	0.79	0.76	
54	[12, 2]	0.97	0.97	0.89	1.17	1.62	0.63	0.31	0.62	0.38	0.71	0.93	0.60	
55	[13, 2]	1.84	1.40	0.95	1.29	1.55	0.77	1.25	1.62	0.92	0.92	1.30	0.79	
56	[14, 2]	0.70	1.16	1.05	1.25	1.42	1.32	1.98	2.10	1.29	0.98	1.23	1.20	
57	[15, 2]	2.68	2.21	1.05	0.88	1.65	1.25	1.35	1.20	1.35	1.20	1.27	1.13	
